run,test accuracy,target_rationale,model_size,training_mode
0,0.6511,few-shot-positive-rationale,220M,task-prefix
0,0.6274000000000001,few-shot-revision,220M,task-prefix
0,0.6052000000000001,few-shot-positive-rationale,220M,counterfactual-prefix
0,0.5266000000000001,few-shot-revision,220M,counterfactual-prefix
0,0.6446000000000001,few-shot-positive-rationale,220M,both
0,0.6405000000000001,few-shot-revision,220M,both
0,0.7617,few-shot-positive-rationale,770M,task-prefix
0,0.7502000000000001,few-shot-revision,770M,task-prefix
0,0.7035,few-shot-positive-rationale,770M,counterfactual-prefix
0,0.7002,few-shot-revision,770M,counterfactual-prefix
0,0.7649,few-shot-positive-rationale,770M,both
0,0.7649,few-shot-revision,770M,both
5,0.7420147420000001,few-shot-revision,770M,both
5,0.4095004095,few-shot-revision,770M,counterfactual-prefix
5,0.7624897625,few-shot-positive-rationale,770M,task-prefix
4,0.7395577396,few-shot-revision,770M,both
4,0.7248157248,few-shot-positive-rationale,770M,both
4,0.665028665,few-shot-revision,770M,counterfactual-prefix
4,0.6879606880000001,few-shot-positive-rationale,770M,counterfactual-prefix
4,0.7411957412,few-shot-revision,770M,task-prefix
4,0.7461097461,few-shot-positive-rationale,770M,task-prefix
3,0.7321867322000001,few-shot-revision,770M,both
3,0.7633087633000001,few-shot-positive-rationale,770M,both
3,0.6437346437,few-shot-revision,770M,counterfactual-prefix
3,0.5110565111,few-shot-positive-rationale,770M,counterfactual-prefix
3,0.7371007371,few-shot-revision,770M,task-prefix
2,0.7371007371,few-shot-revision,770M,both
2,0.7485667486,few-shot-positive-rationale,770M,task-prefix
1,0.7321867322000001,few-shot-revision,770M,both
1,0.7567567568,few-shot-positive-rationale,770M,both
1,0.6380016380000001,few-shot-revision,770M,counterfactual-prefix
1,0.6879606880000001,few-shot-positive-rationale,770M,counterfactual-prefix
1,0.723996724,few-shot-revision,770M,task-prefix
1,0.7592137592,few-shot-positive-rationale,770M,task-prefix
5,0.5790335790000001,few-shot-revision,220M,task-prefix
4,0.5864045864,few-shot-revision,220M,task-prefix
3,0.4946764947,few-shot-revision,220M,task-prefix
2,0.5896805897,few-shot-revision,220M,task-prefix
1,0.5700245700000001,few-shot-revision,220M,task-prefix
5,0.38656838660000004,few-shot-revision,220M,counterfactual-prefix
4,0.43488943490000004,few-shot-revision,220M,counterfactual-prefix
3,0.4406224406,few-shot-revision,220M,counterfactual-prefix
2,0.4357084357,few-shot-revision,220M,counterfactual-prefix
1,0.43652743650000003,few-shot-revision,220M,counterfactual-prefix
5,0.6257166257,few-shot-revision,220M,both
4,0.6093366093,few-shot-revision,220M,both
3,0.6076986077000001,few-shot-revision,220M,both
2,0.6126126126,few-shot-revision,220M,both
1,0.6208026208,few-shot-revision,220M,both
5,0.5577395577,few-shot-positive-rationale,220M,both
4,0.5937755938,few-shot-positive-rationale,220M,both
3,0.592956593,few-shot-positive-rationale,220M,both
2,0.5962325962,few-shot-positive-rationale,220M,both
1,0.601965602,few-shot-positive-rationale,220M,both
5,0.48321048320000004,few-shot-positive-rationale,220M,counterfactual-prefix
4,0.5462735463,few-shot-positive-rationale,220M,counterfactual-prefix
3,0.5217035217,few-shot-positive-rationale,220M,counterfactual-prefix
2,0.5118755119,few-shot-positive-rationale,220M,counterfactual-prefix
1,0.5217035217,few-shot-positive-rationale,220M,counterfactual-prefix
5,0.6396396396,few-shot-positive-rationale,220M,task-prefix
4,0.6494676495,few-shot-positive-rationale,220M,task-prefix
3,0.6453726454000001,few-shot-positive-rationale,220M,task-prefix
2,0.5077805078000001,few-shot-positive-rationale,220M,task-prefix
1,0.6322686323000001,few-shot-positive-rationale,220M,task-prefix
2,0.7093,few-shot-positive-rationale,770M,counterfactual-prefix
2,0.6323000000000001,few-shot-revision,770M,counterfactual-prefix
2,0.7494000000000001,few-shot-positive-rationale,770M,both
5,0.41960000000000003,few-shot-revision,770M,task-prefix
1,0.6773,few-shot-positive-rationale,770M,counterfactual-prefix
